geoname_id	name	ascii_name	population	latitude	longitude	feature_code
7343011	Yiwa	Yiwa	4719	34.1374400	103.1689400	PPLA4
7343277	Guzhan	Guzhan	4717	34.6946100	103.2966000	PPLA4
1941718	Goutou	Goutou	4702	39.8050000	117.1991700	PPL
2034270	Walagan	Walagan	4695	52.5833300	124.5666700	PPL
7372556	Yuezhao	Yuezhao	4663	33.1405900	105.1610800	PPLA4
7372407	Yuhe	Yuhe	4539	32.9990700	105.4861400	PPLA4
1817829	Badu	Badu	4370	26.8102800	119.5641700	PPL
7373653	Shaijing	Shaijing	4361	33.9934500	105.5428000	PPLA4
1785786	Yulei	Yulei	4360	32.8405600	105.0080600	PPL
7372657	Dianzi	Dianzi	4334	33.2204100	105.5012700	PPLA4
1814697	Cuihuangkou	Cuihuangkou	4334	39.5258300	117.1805600	PPL
13308674	Buxin	Buxin	4319	22.5858100	113.8946100	PPLA5
1796836	Sangzi	Sangzi	4315	39.9055600	117.1572200	PPL
1808772	Hebeitun	Hebeitun	4248	39.5747200	117.1133300	PPL
7372534	Lianghe	Lianghe	4240	33.1216800	105.9194700	PPLA4
1921211	Yinglin	Yinglin	4150	24.6322200	118.5805600	PPL
1792603	Tongqian	Tongqian	4082	33.0691700	105.7638900	PPLA4
13308601	Fuyongzhen	Fuyongzhen	4028	22.6681300	113.8139200	PPLX
13308724	Hongshulin	Hongshulin	4022	22.5303800	113.9005800	PPLX
13308717	Shangwei Yuanxin	Shangwei Yuanxin	4012	22.6033500	113.8543800	PPL
1800886	Meichang	Meichang	4009	39.3661100	117.1805600	PPL
1813668	Daqiao	Daqiao	4000	26.6150000	118.9063900	PPLA4
1793380	Tangkou	Tangkou	4000	26.9541700	119.0127800	PPL
1550222	Xujiaba	Xujiaba	3989	27.8847200	108.1136100	PPL
1807137	Huangyangtan	Huangyangtan	3984	38.2500000	105.9833300	PPL
1785341	Zhan’erxiang	Zhan'erxiang	3947	33.7798600	106.3003400	PPLA4
7446480	Zuogaiduoma	Zuogaiduoma	3940	35.0558700	103.1259900	PPLA4
1791341	Laocheng	Laocheng	3922	37.1427800	115.8883300	PPL
13308670	Xintian	Xintian	3917	22.5576300	113.9397400	PPL
13308645	Yuyecun	Yuyecun	3822	22.5681000	113.8658500	PPLX
1814946	Chixi	Chixi	3810	26.9111100	119.4830600	PPL
1791785	Wanmao	Wanmao	3804	34.8000000	103.2000000	PPLA4
